dataID,programmaticName,MaxValue,MinValue,Units,Enumeration
1,standardVersion,15,15,0,
2,stdCompliance,,,,3,errorCompliance,,,,4553,st_sys_serverClass,,,,5,serverState,,,,6,serverTimeout,100,1,0,
7,oid1,65535,1,0,
8,oid2,65535,1,0,
17,endSession,32767,-32768,0,
80,changeOfValuePace,65535,0,0,
20,commBps,32767,-32768,0,
21,commTimeOut,4200,30,0,
5002,val_sys_tmp_airSupply,32767,-32768,4125,
4291,val_sys_temp_inletAir,32767,-32768,4125,
5004,val_sys_tmp_dewPntRet,32767,-32768,4125,
5005,val_ext_tmp_remSnsrMin,32767,-32768,4125,
5006,val_ext_tmp_remSnsrMax,32767,-32768,4125,
5007,val_ext_tmp_remSnsrAvg,32767,-32768,4125,
5008,val_sys_tmp_airSetPt,400,72,4125,
5009,val_sys_tmp_airCoolingPropBand,150,10,4126,
5010,val_sys_tmp_airHeatingPropBand,150,10,4126,
5011,val_sys_tmp_airDeadBand,33,0,4126,
5012,st_sys_tmpSnsrAirControl,,,,5013,st_ext_tmpRemSnsrCalc,,,,5014,val_sys_tmp_airSupplyOverThrshld,990,10,4125,
5018,val_sys_tmp_airSupplyUnderThrshld,990,10,4125,
5022,val_sys_tmp_airRetOverThrshld,990,10,4125,
5027,val_sys_rh_airSupply,100,0,4132,
5028,val_sys_rh_airRet,100,0,4132,
5029,val_sys_rh_setPt,80,20,4132,
5030,val_sys_rh_hmdPropBand,25,1,4132,
5031,val_sys_rh_dhmdPropBand,25,1,4132,
5032,val_sys_rh_deadBand,50,0,4132,
5033,val_sys_rh_airRetOverThrshld,990,10,4132,
5035,val_sys_rh_airRetUnderThrshld,990,10,4132,
5047,st_fan_controlMode,,,,5048,val_fan_tmp_propBand,277,10,4126,
5049,val_fan_pct_manSetPt,100,30,4124,
5050,val_fan_pct_maxSetPt,100,30,4124,
5051,val_fan_pct_minSetPt,100,30,4124,
5052,st_fan_snsrSpeedControl,,,,147,val_fan_tmp_setPtDelta,277,0,4126,
148,st_sys_ctrlCoupledMode,,,,5058,st_ext_remSnsrFunc,,,,5059,val_ext_tmp_remSnsr,32767,-32768,4125,
4624,val_clng_tmp_supCW,32767,-32768,4125,
4625,val_clng_tmp_supCWOverThrshld,990,100,4125,
4123,st_sys_status,,,,4706,st_sys_operating,,,,4707,st_sys_controlMode,,,,5074,st_sys_operatingReason,,,,70,st_sys_unitStatus,,,,71,st_sys_teamworkMode,,,,36,st_sys_teamworkMode1Basis,,,,5075,val_ext_tm_bmsTimeout,120,0,4098,
4710,val_sys_tm_autoRestart,999,0,4097,
5076,val_sys_pct_opEff,100,0,4124,
5077,val_fan_pct_speed,100,0,4124,
5078,val_comp_pct_utlztn,100,0,4124,
5079,val_dhmd_pct_utlztn,100,0,4124,
5080,val_heat_pct_utlztn,100,0,4124,
5081,val_hmd_pct_utlztn,100,0,4124,
4870,val_sys_pct_maintenanceRamp,100,0,4124,
5143,st_sys_onOffCtrl,,,,4717,st_sys_eventAckReset,,,,68,st_sys_tmpHmdEventsEnable,,,,4721,st_sys_smokeDetectedEnable,,,,4722,st_sys_smokeDetectedType,,,,4724,st_sys_waterUnderFloorEnable,,,,4725,st_sys_waterUnderFloorType,,,,4718,st_ext_inpContactEnable01,,,,4719,st_ext_inpContactType01,,,,5098,st_ext_inpContactEnable02,,,,5099,st_ext_inpContactType02,,,,5100,st_ext_inpContactEnable03,,,,5101,st_ext_inpContactType03,,,,5102,st_ext_inpContactEnable04,,,,5103,st_ext_inpContactType04,,,,4727,st_sys_serviceReqEnable,,,,4728,st_sys_serviceReqType,,,,4715,st_sys_shutdownPwrLossEnable,,,,4716,st_sys_shutdownPwrLossType,,,,5082,st_ext_flowLossEnable,,,,5083,st_ext_flowLossType,,,,5084,st_ext_reheatLockoutEnable,,,,5085,st_ext_reheatLockoutType,,,,5086,st_ext_hmdLockoutEnable,,,,5087,st_ext_hmdLockoutType,,,,5088,st_ext_compLockoutEnable,,,,5089,st_ext_compLockoutType,,,,5090,st_ext_overTempEnable,,,,5091,st_ext_overTempType,,,,5092,st_cndsr_vfdIssueEnable,,,,5093,st_cndsr_vfdIssueType,,,,5094,st_cndsr_tvssIssueEnable,,,,5095,st_cndsr_tvssIssueType,,,,5096,st_cndsr_issueEnable1,,,,5097,st_cndsr_issueType1,,,,62,val_sys_pct_coolingCap,100,0,4124,
136,val_comp_prs_digScrollHP1,32767,-32768,4141,
67,val_comp_tmp_calcHP,32767,-32768,4125,
81,val_comp_prs_digScrollLP1,32767,-32768,4141,
100,val_comp_tmp_calcLP,32767,-32768,4125,
23,st_heat_status1,,,,108,val_comp_prs_digScrollLowOf3,65535,0,4141,
109,val_comp_prs_digScrollLowOf1,65535,0,4141,
4,val_mbv_prs_op1,32767,-32768,4141,
16,st_dhmd_status,,,,22,st_hmd_status,,,,
