Programmatic Name,Velocity Register
val_sys_ep_inpRmsPhsAN,4096
val_sys_ep_inpRmsPhsAB,4097
val_sys_ep_inpRmsPhsBN,4098
val_sys_ep_inpRmsPhsBC,4099
val_sys_ep_inpRmsPhsCN,4100
val_sys_ep_inpRmsPhsCA,4101
val_sys_ep_inpNom,4102
val_sys_freq_inpNom,4103
val_sys_ec_inpNom,4104
val_sys_freq_inp,4105
val_sys_ep_inpMaxPhsAN,4106
val_sys_ep_inpMinPhsAN,4107
val_sys_ep_inpMaxPhsBN,4108
val_sys_ep_inpMinPhsBN,4109
val_sys_ep_inpMaxPhsCN,4110
val_sys_ep_inpMinPhsCN,4111
val_sys_na_inpPhsCnt,4112
val_sys_ec_inpRmsPhsA,4113
val_sys_ec_inpRmsPhsB,4114
val_sys_ec_inpRmsPhsC,4115
val_sys_na_inpPwrFactPhsA,4116
val_sys_na_inpPwrFactPhsB,4117
val_sys_na_inpPwrFactPhsC,4118
val_sys_na_inpBrownCnt,4119
val_sys_na_inpBlackCnt,4120
val_sys_na_inpTransientCnt,4121
evt_sys_inpNotQualified,4122
st_sys_status,4123
st_grp_summaryStatus,4124
val_byp_ep_inpRmsPhsAB,4125
val_byp_ep_inpRmsPhsBC,4126
val_byp_ep_inpRmsPhsCA,4127
val_byp_ep_inpRmsPhsAN,4128
val_byp_ep_inpRmsPhsBN,4129
val_byp_ep_inpRmsPhsCN,4130
val_byp_freq_inp,4131
evt_byp_outOverloadPhsA,4132
evt_byp_outOverloadPhsB,4133
evt_byp_outOverloadPhsC,4134
evt_byp_unavail,4135
val_byp_pha_syncDiff,4136
evt_byp_autoReXfrPrimed,4137
evt_byp_autoReXfrFailed,4138
evt_byp_excessAutoReXfr,4139
evt_byp_restartInhibitExt,4140
evt_byp_brkrClosed,4141
evt_byp_sbsOverload,4142
evt_byp_sbsUnavail,4143
evt_byp_excessPulseParallel,4144
evt_byp_autoXfrFailed,4145
evt_sys_inpPhsRotation,4146
evt_sys_inpCurrentLimit,4147
val_dcb_ep_dcBus,4148
val_dcb_ec_dcBus,4149
val_bat_tm_remaining,4150
val_bat_tm_discharge,4151
val_bat_tm_totalDischarge,4152
val_bat_pct_charge,4153
val_bat_ep_mainDisconnect,4154
val_bat_ep_cabinet,4155
val_bat_temp_cabinet,4156
val_byp_tm_sbsOverloadRemain,4157
val_bat_ah_consumed,4158
val_bat_pwr_discharge,4159
val_bat_tm_commissioned,4160
val_bat_tm_lastDischarge,4161
evt_bat_low,4162
evt_sys_outOffEoD,4163
evt_bat_chargeError,4164
evt_bat_chargeReducedExt,4165
evt_bat_capacityLow,4166
evt_out_off,4167
evt_bat_discharging,4168
evt_bat_tempImbalance,4169
evt_bat_equalize,4170
evt_bat_manualTest,4171
evt_bat_autoTest,4172
evt_bat_mainDisconnectOpen,4173
evt_bat_tempSnsrFail,4174
evt_byp_freqErr,4175
evt_bat_brkr01Open,4176
evt_bat_brkr01OpenFail,4177
evt_bat_brkr01CloseFail,4178
evt_bat_brkr02Open,4179
evt_bat_brkr02OpenFail,4180
evt_bat_brkr02CloseFail,4181
evt_bat_brkr03Open,4182
evt_bat_brkr03OpenFail,4183
evt_bat_brkr03CloseFail,4184
evt_bat_brkr04Open,4185
evt_bat_brkr04OpenFail,4186
evt_bat_brkr04CloseFail,4187
evt_bat_brkr05Open,4188
evt_bat_brkr05OpenFail,4189
evt_bat_brkr05CloseFail,4190
evt_bat_brkr06Open,4191
evt_bat_brkr06OpenFail,4192
evt_bat_brkr06CloseFail,4193
evt_bat_brkr07Open,4194
evt_bat_brkr07OpenFail,4195
evt_bat_brkr07CloseFail,4196
evt_bat_brkr08Open,4197
evt_bat_brkr08OpenFail,4198
evt_bat_brkr08CloseFail,4199
evt_bat_chargeInhibit,4200
val_sys_ep_outRmsPhsAB,4201
val_sys_ep_outRmsPhsBC,4202
val_sys_ep_outRmsPhsCA,4203
val_sys_ec_outRmsPhsA,4204
val_sys_ec_outRmsPhsB,4205
val_sys_ec_outRmsPhsC,4206
val_sys_freq_out,4207
