dataID,programmaticName,MaxValue,MinValue,Units,Enumeration
1,standardVersion,15,15,,
2,stdCompliance,,,,"Level 2,Level 1"
3,errorCompliance,,,,"Level 2,Level 1"
4553,st_sys_serverClass,,,,"UPS,AIR,PMP,PDU"
5,serverState,,,,"Normal,Soft Reset"
6,serverTimeout,100,1,,
7,oid1,65535,1,,
8,oid2,65535,1,,
17,endSession,32767,-32768,,
25,changeOfValuePace,65535,0,,
20,commBps,32767,-32768,,
21,commTimeOut,4200,30,,
5262,val_comp_tmp_airShutDownLoThrshd,8,-25,kWH,
16,val_cndsr_hier,65535,0,,
5276,val_cndsr_pct_fanSpeed,100,0,WH,
5279,val_clng_prs_fluid,500,-100,psia,
5281,val_clng_tmp_fluCoolingPropBand,100,20,AH,
5301,val_sys_tmp_FCFluidAirDeltaExt,10,0,AH,
5302,st_sys_statusFC,,,,"off,on,No Support"
5303,val_valv_pct_posFC,100,0,WH,
5304,val_valv_tm_opFC,32000,0,true,
5305,val_valv_tm_opThresholdFC,32000,0,true,
5307,val_evap_tmp_retFlu,32767,-32768,kWH,
5555,val_evap_tmp_retFluOverThrshAlrm,99,0,kWH,
5556,val_evap_tmp_retFluOverThrshWarn,99,0,kWH,
5557,val_evap_tmp_retFluUnderThrshWarn,99,0,kWH,
5558,val_evap_tmp_retFluUnderThrshAlrm,99,0,kWH,
5312,val_clng_tmp_supBrineSetPt,25,-11,kWH,
5314,val_sys_na_standbyUnits,15,0,,
76,st_sys_standbyRotateFreq,,,,"No rotation,Daily,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"
77,val_sys_tm_standbyRotateHr,23,0,true,
78,val_sys_tm_standbyRotateMin,59,0,off,
4717,st_sys_eventAckReset,,,,"Reset,Acknowledge"
4123,st_sys_status,,,,"Normal Operation,StartUp,Normal with Warning,Normal with Alarm,Abnormal Operation"
4706,st_sys_operating,,,,"off,on,standby"
4707,st_sys_controlMode,,,,"Internal (Auto),External (Manual)"
5074,st_sys_operatingReason,,,,"Reason Unknown,Network Display,Alarm,Schedule,Remote System,External Input,Local Display"
79,st_sys_unitStatus,,,,"Alarm Off,Manual,Local Off,System Off,Alarm Standby,Standby,Timer Off,System On,Warning On,Alarm On,Timer On,Remote Off,BMS Off,Restart Delay"
5143,st_sys_onOffCtrl,,,,"off,on"
5288,val_clng_tmp_retFlu,32767,-32768,kWH,
4643,val_clng_tmp_supFlu,32767,-32768,kWH,
5282,val_clng_tmp_supFluSetPtActual,300,-100,kWH,
5517,val_cndsr_tmp_waterIn,32767,-32768,kWH,
5518,val_cndsr_tmp_waterOut,32767,-32768,kWH,
5313,val_clng_tmp_supHotWtrSetPt,55,30,kWH,
5519,val_sys_pct_freeCooling,65535,0,WH,
5080,val_heat_pct_utlztn,65535,0,WH,
5078,val_comp_pct_utlztn,65535,0,WH,
4594,val_ext_tmp_airA,32767,-32768,kWH,
5520,val_sys_pct_compEcoUtlztn,65535,0,WH,
5521,val_sys_pct_cndsrCoolAdiabUtlztn,65535,0,WH,
4654,st_pump_op1,,,,"off,on"
4655,st_pump_op2,,,,"off,on"
