Type,Test Suite,ID,Title,Hours Expected,Type,Phase,Configurations,Resources,Status,Attempts,Last Attempt Date,Last Attempt Time,Actual Hours,Testers,Faults,CR ID,Results,Version,Build,Link2,Result Notes,Requirements,Created Date,Created Time,Updated Date,Updated Time,Author,Update By,Prerequisites,Description,Results,Notes Field 1,Revision History,Link,Priority
suite,iCOM_CR\,AirTemperature,AirTemperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\AirTemperature,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite,iCOM_CR\,Humidity,Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,iCOM_CR\Humidity,,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
