textID,text
0,
4096,unknown
4097,on
4098,off
4099,true
4100,false
4101,enabled
4102,disabled
4103,ms
4104,sec
4105,min
4106,hr
4108,VAC
4109,mV AC
4110,VDC
4111,mV DC
4112,V peak
4113,V peak-to-peak
4114,A AC
4115,mA AC
4116,A DC
4117,mA DC
4118,VA
4119,kVA
4120,VAR
4121,kVAR
4122,W
4123,kW
4124,WH
4125,kWH
4126,AH
4127,Hz
4128,mHz
4129,kHz
4130,MHz
4131,GHz
4132,deg C
4133,deg F
4134,deg C
4135,deg F
4136,%
4137,psi
4138,Pa
4139,atm
4140,% RH
4141,psia
4142,% THD
4143,Battery time remaining
4144,System Input RMS A-N
4145,The System Input RMS Voltage between Phase A and Neutral
4146,System Input RMS A-B
4147,The System Input RMS Voltage between Phase A and Phase B
4148,System Input RMS B-N
4149,The System Input RMS Voltage between Phase B and Neutral
4150,System Input RMS B-C
4151,The System Input RMS Voltage between Phase B and Phase C
4152,System Input RMS C-N
4153,The System Input RMS Voltage between Phase C and Neutral
4154,System Input RMS C-A
4155,The System Input RMS Voltage between Phase C and Phase A
4156,System Input Nominal Voltage
4157,The nominal (or rated) system input voltage
4158,System Input Nominal Frequency
4159,The nominal (or rated) system input frequency
4160,System Input Nominal Current
4161,The nominal (or rated) system input current
4162,System Input Frequency
4163,The system input frequency
4164,System Input Max Voltage A-N
4165,The maximum system input voltage measurement for Phase A-N since the last reset
4166,System Input Min Voltage A-N
4167,The minimum system input voltage measurement for Phase A-N since the last reset
4168,System Input Max Voltage B-N
4169,The maximum system input voltage measurement for Phase B-N since the last reset
4170,System Input Min Voltage B-N
4171,The minimum system input voltage measurement for Phase B-N since the last reset
4172,System Input Max Voltage C-N
4173,The maximum system input voltage measurement for Phase C-N since the last reset
4174,System Input Min Voltage C-N
4175,The minimum system input voltage measurement for Phase C-N since the last reset
4176,System Input Phase Count
4177,The number of phases for the system input
4178,System Input RMS Current Phase A
4179,The system input RMS current for Phase A
4180,System Input RMS Current Phase B
4181,The system input RMS current for Phase B
4182,System Input RMS Current Phase C
4183,The system input RMS current for Phase C
4184,System Input Power Factor Phs A
4185,The system input power factor for Phase A
4186,System Input Power Factor Phs B
4187,The system input power factor for Phase B
4188,System Input Power Factor Phs C
4189,The system input power factor for Phase C
4190,System Input Brown Out Count
4191,The number of occurrences, since the last reset, where the system input voltage has fallen below a pre-determined threshold for a specified amount of time
4192,System Input Black Out Count
