Programatic Name,OID Name,OID Numeric,Index Name
val_sys_tmp_dewPnt,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpEnvDewPointTemperature
val_sys_tmp_dewPnt,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpEnvDewPointTemperature
val_ext_tmp_airMinSetPt,lgpEnvTemperatureSetPointTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.53,lgpEnvMinDesiredRoomAirTemperature
val_ext_tmp_airMinSetPt,lgpEnvTemperatureSetPointTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.53,lgpEnvMinDesiredRoomAirTemperature
val_ext_tmp_airA,lgpEnvTemperatureMeasurementTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50,lgpEnvExternalAirSensorA
val_ext_tmp_airA,lgpEnvTemperatureMeasurementTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50,lgpEnvExternalAirSensorA
val_ext_pct_hmdtyAirA,lgpEnvHumidityMeasurementRel,.1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.3,lgpEnvExternalAirSensorA
val_ext_tmp_dewPntA,lgpEnvTemperatureMeasurementTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50,lgpEnvExternalAirSensorADewPoint
val_ext_tmp_dewPntA,lgpEnvTemperatureMeasurementTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50,lgpEnvExternalAirSensorADewPoint
val_ext_tmp_airB,lgpEnvTemperatureMeasurementTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50,lgpEnvExternalAirSensorB
val_ext_tmp_airB,lgpEnvTemperatureMeasurementTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50,lgpEnvExternalAirSensorB
val_ext_pct_hmdtyAirB,lgpEnvHumidityMeasurementRel,.1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.3,lgpEnvExternalAirSensorB
val_ext_tmp_dewPntB,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpEnvExternalAirSensorBDewPoint
val_ext_tmp_dewPntB,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpEnvExternalAirSensorBDewPoint
val_ext_tmp_airOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpEnvExternalAirSensorB
val_ext_tmp_airOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpEnvExternalAirSensorB
val_ext_tmp_airOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpEnvExternalAirSensorA
val_ext_tmp_airOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpEnvExternalAirSensorA
st_ext_tmpAirOverEnableA,,,
st_ext_tmpAirOverEnableA,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirOverEnableA,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirOverEnableA,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirOverTypeA,,,
st_ext_tmpAirOverTypeA,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_ext_tmpAirOverEnableB,,,
st_ext_tmpAirOverEnableB,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
